LOCATION,INDICATOR,SUBJECT,MEASURE,FREQUENCY,TIME,Value,Flag Codes
IDN,TRADEGOOD,IMP,BLN_USD,Q,2018-Q2,45.49463,
IDN,TRADEGOOD,IMP,BLN_USD,Q,2018-Q3,49.49027,
IDN,TRADEGOOD,IMP,BLN_USD,Q,2018-Q4,48.17051,
IDN,TRADEGOOD,IMP,BLN_USD,Q,2019-Q1,42.40522,
IDN,TRADEGOOD,IMP,BLN_USD,Q,2019-Q2,42.133,
IDN,TRADEGOOD,IMP,BLN_USD,Q,2019-Q3,43.74356,
IDN,TRADEGOOD,IMP,BLN_USD,Q,2019-Q4,42.79476,
IDN,TRADEGOOD,IMP,BLN_USD,Q,2020-Q1,39.72295,
IDN,TRADEGOOD,IMP,BLN_USD,Q,2020-Q2,32.41956,
IDN,TRADEGOOD,IMP,BLN_USD,Q,2020-Q3,32.70076,
IDN,TRADEGOOD,IMP,BLN_USD,Q,2020-Q4,36.12397,
IDN,TRADEGOOD,IMP,BLN_USD,Q,2021-Q1,44.59533,
SAU,TRADEGOOD,IMP,BLN_USD,Q,2018-Q1,34.16031,
SAU,TRADEGOOD,IMP,BLN_USD,Q,2018-Q2,34.56126,
SAU,TRADEGOOD,IMP,BLN_USD,Q,2018-Q3,34.53467,
SAU,TRADEGOOD,IMP,BLN_USD,Q,2018-Q4,33.5602,
SAU,TRADEGOOD,IMP,BLN_USD,Q,2019-Q1,35.17901,
SAU,TRADEGOOD,IMP,BLN_USD,Q,2019-Q2,39.34241,
SAU,TRADEGOOD,IMP,BLN_USD,Q,2019-Q3,39.68344,
SAU,TRADEGOOD,IMP,BLN_USD,Q,2019-Q4,38.09747,
SAU,TRADEGOOD,IMP,BLN_USD,Q,2020-Q1,34.06554,
SAU,TRADEGOOD,IMP,BLN_USD,Q,2020-Q2,32.64588,
SAU,TRADEGOOD,IMP,BLN_USD,Q,2020-Q3,33.54961,
SAU,TRADEGOOD,IMP,BLN_USD,Q,2020-Q4,35.92645,
